Date,Open,High,Low,Close,Change (Pips),Change (%)
Jun 20 2017 07:00,0.87525,0.88043,0.87385,0.88039,51.4,0.58%
Jun 20 2017 06:00,0.876,0.87632,0.87516,0.87524,-7.6,-0.09%
Jun 20 2017 05:00,0.87576,0.87602,0.87538,0.87602,2.6,0.03%
Jun 20 2017 04:00,0.87582,0.87597,0.87546,0.87574,-0.8,-0.01%
Jun 20 2017 03:00,0.87599,0.87626,0.87573,0.87588,-1.1,-0.01%
Jun 20 2017 02:00,0.87591,0.87607,0.87574,0.87594,0.3,0.00%
Jun 20 2017 01:00,0.87551,0.87595,0.87551,0.8759,3.9,0.04%
Jun 20 2017 00:00,0.87534,0.8759,0.87531,0.8755,1.6,0.02%
Jun 19 2017 23:00,0.87539,0.8758,0.87527,0.87539,0,0.00%
Jun 19 2017 22:00,0.87533,0.87555,0.87521,0.87541,0.8,0.01%
Jun 19 2017 21:00,0.87486,0.87549,0.87448,0.87532,4.6,0.05%
Jun 19 2017 20:00,0.87555,0.87555,0.87512,0.87519,-3.6,-0.04%
Jun 19 2017 19:00,0.87574,0.87581,0.87532,0.87557,-1.7,-0.02%
Jun 19 2017 18:00,0.87597,0.8761,0.8753,0.8757,-2.7,-0.03%
Jun 19 2017 17:00,0.87562,0.87624,0.87538,0.87598,3.6,0.04%
Jun 19 2017 16:00,0.87581,0.87634,0.87549,0.87555,-2.6,-0.03%
Jun 19 2017 15:00,0.87527,0.87764,0.87512,0.87584,5.7,0.07%
Jun 19 2017 14:00,0.87601,0.87623,0.8752,0.87523,-7.8,-0.09%
Jun 19 2017 13:00,0.87565,0.87616,0.87519,0.87601,3.6,0.04%
Jun 19 2017 12:00,0.8751,0.87592,0.87474,0.87567,5.7,0.07%
Jun 19 2017 11:00,0.87549,0.87633,0.87472,0.87507,-4.2,-0.05%
Jun 19 2017 10:00,0.87402,0.87613,0.87398,0.87546,14.4,0.16%
Jun 19 2017 09:00,0.87427,0.87474,0.87353,0.87403,-2.4,-0.03%
Jun 19 2017 08:00,0.87509,0.87509,0.87407,0.87428,-8.1,-0.09%
Jun 19 2017 07:00,0.87673,0.87674,0.87342,0.87509,-16.4,-0.19%
Jun 19 2017 06:00,0.8765,0.87724,0.87629,0.87676,2.6,0.03%
Jun 19 2017 05:00,0.87633,0.87662,0.87608,0.87648,1.5,0.02%
Jun 19 2017 04:00,0.87641,0.87658,0.87612,0.87636,-0.5,-0.01%
Jun 19 2017 03:00,0.87689,0.87689,0.8764,0.87642,-4.7,-0.05%
Jun 19 2017 02:00,0.8769,0.87734,0.87685,0.8769,0,0.00%
Jun 19 2017 01:00,0.87629,0.87709,0.87598,0.87689,6,0.07%
Jun 19 2017 00:00,0.87706,0.87706,0.87575,0.87631,-7.5,-0.09%
Jun 18 2017 23:00,0.87701,0.87733,0.87675,0.87703,0.2,0.00%
Jun 18 2017 22:00,0.87725,0.87759,0.87684,0.87699,-2.6,-0.03%
Jun 18 2017 21:00,0.8777,0.87798,0.87697,0.87722,-4.8,-0.05%
Jun 16 2017 20:00,0.87614,0.87643,0.87597,0.87602,-1.2,-0.01%
Jun 16 2017 19:00,0.87587,0.87633,0.87539,0.87614,2.7,0.03%
Jun 16 2017 18:00,0.87543,0.87603,0.87543,0.87589,4.6,0.05%
Jun 16 2017 17:00,0.87518,0.87555,0.87435,0.87545,2.7,0.03%
Jun 16 2017 16:00,0.876,0.87606,0.87493,0.87515,-8.5,-0.10%
Jun 16 2017 15:00,0.87482,0.87607,0.87452,0.87602,12,0.14%
Jun 16 2017 14:00,0.87502,0.8756,0.8743,0.87484,-1.8,-0.02%
Jun 16 2017 13:00,0.87439,0.87544,0.87404,0.87503,6.4,0.07%
Jun 16 2017 12:00,0.87447,0.87469,0.87379,0.87443,-0.4,0.00%
