20160101 044200,1.091480,1.092200,1.091480,1.092090,0
20160101 044300,1.092080,1.092150,1.091890,1.092100,0
20160101 044400,1.092100,1.092100,1.091800,1.092060,0
20160101 044500,1.092080,1.092260,1.091920,1.092230,0
20160101 044600,1.092230,1.092330,1.092190,1.092220,0
20160101 044700,1.092220,1.092340,1.092190,1.092310,0
20160101 044800,1.092300,1.092410,1.092280,1.092370,0
20160101 044900,1.092380,1.092660,1.092380,1.092510,0
20160101 045000,1.092520,1.092610,1.092420,1.092600,0
20160101 045100,1.092600,1.092660,1.092500,1.092510,0
20160101 045200,1.092520,1.092600,1.092270,1.092270,0
20160101 045300,1.092270,1.092550,1.092260,1.092380,0
20160101 045400,1.092380,1.092480,1.092300,1.092390,0
20160101 045500,1.092400,1.092670,1.092400,1.092490,0
20160101 045600,1.092490,1.092670,1.092490,1.092630,0
20160101 045700,1.092640,1.092780,1.092490,1.092580,0
20160101 045800,1.092580,1.092740,1.092490,1.092730,0
20160101 045900,1.092740,1.093030,1.092730,1.092900,0
20160101 050000,1.092900,1.093270,1.092800,1.093240,0
20160101 050100,1.093210,1.093570,1.093090,1.093430,0
20160101 050200,1.093460,1.093500,1.093300,1.093310,0
20160101 050300,1.093300,1.093310,1.093110,1.093120,0
20160101 050400,1.093110,1.093200,1.093070,1.093180,0
20160101 050500,1.093200,1.093400,1.093000,1.093040,0
20160101 050600,1.093050,1.093070,1.092550,1.092590,0
20160101 050700,1.092590,1.092590,1.092410,1.092410,0
20160101 050800,1.092410,1.092610,1.092390,1.092540,0
20160101 050900,1.092540,1.092760,1.092540,1.092720,0
20160101 051000,1.092730,1.092930,1.092700,1.092760,0
20160101 051100,1.092780,1.093120,1.092780,1.093120,0
20160101 051200,1.093120,1.093120,1.092580,1.092580,0
20160101 051300,1.092600,1.092830,1.092600,1.092800,0
20160101 051400,1.092800,1.092840,1.092610,1.092800,0
20160101 051500,1.092820,1.092820,1.092510,1.092740,0
20160101 051600,1.092740,1.092840,1.092400,1.092600,0
20160101 051700,1.092610,1.092610,1.092290,1.092460,0
20160101 051800,1.092450,1.092500,1.092070,1.092100,0
